anio;nivel_agregacion;unidad_territorial;tipo_institucion_ract;monto_inversion;monto_inversion_constante_2004
2022;Provincia;Salta;UPUB;783.50;6.90
2022;Provincia;San Juan;UPUB;1401.40;12.30
2022;Provincia;San Luis;UPUB;3005.40;26.40
2022;Provincia;Santa Cruz;UPUB;860.50;7.60
2022;Provincia;Santa Fe;UPUB;9351.50;82.20
2022;Provincia;Santiago del Estero;UPUB;521.90;4.60
2022;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;UPUB;483.80;4.30
2022;Provincia;Tucumán;UPUB;3377.80;29.70
2022;Provincia;Buenos Aires;UPRI;1149.80;10.10
2022;Provincia;Catamarca;UPRI;0.00;0.00
2022;Provincia;Chaco;UPRI;9.50;0.10
2022;Provincia;Chubut;UPRI;0.00;0.00
2022;Provincia;C.A.B.A.;UPRI;3149.40;27.70
2022;Provincia;Córdoba;UPRI;385.30;3.40
2022;Provincia;Corrientes;UPRI;44.00;0.40
2022;Provincia;Entre Ríos;UPRI;165.00;1.40
2022;Provincia;Formosa;UPRI;2.80;0.00
2022;Provincia;Jujuy;UPRI;5.00;0.00
2022;Provincia;La Pampa;UPRI;0.00;0.00
2022;Provincia;La Rioja;UPRI;10.80;0.10
2022;Provincia;Mendoza;UPRI;192.50;1.70
2022;Provincia;Misiones;UPRI;25.70;0.20
2022;Provincia;Neuquén;UPRI;0.10;0.00
2022;Provincia;Río Negro;UPRI;6.00;0.10
2022;Provincia;Salta;UPRI;116.20;1.00
2022;Provincia;San Juan;UPRI;40.40;0.40
2022;Provincia;San Luis;UPRI;26.80;0.20
2022;Provincia;Santa Cruz;UPRI;0.00;0.00
2022;Provincia;Santa Fe;UPRI;178.20;1.60
2022;Provincia;Santiago del Estero;UPRI;41.70;0.40
2022;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;UPRI;8.00;0.10
2022;Provincia;Tucumán;UPRI;73.50;0.60
2022;Provincia;Buenos Aires;OCT;75400.30;662.40
2022;Provincia;Catamarca;OCT;683.70;6.00
2022;Provincia;Chaco;OCT;1205.00;10.60
2022;Provincia;Chubut;OCT;3273.50;28.80
2022;Provincia;C.A.B.A.;OCT;37719.80;331.40
2022;Provincia;Córdoba;OCT;11737.70;103.10
2022;Provincia;Corrientes;OCT;1694.40;14.90
2022;Provincia;Entre Ríos;OCT;1818.90;16.00
2022;Provincia;Formosa;OCT;525.80;4.60
2022;Provincia;Jujuy;OCT;1178.80;10.40
2022;Provincia;La Pampa;OCT;877.20;7.70
2022;Provincia;La Rioja;OCT;535.90;4.70
2022;Provincia;Mendoza;OCT;4852.20;42.60
2022;Provincia;Misiones;OCT;1689.60;14.80
2022;Provincia;Neuquén;OCT;3508.30;30.80
2022;Provincia;Río Negro;OCT;6943.30;61.00
2022;Provincia;Salta;OCT;1866.50;16.40
2022;Provincia;San Juan;OCT;1993.00;17.50
2022;Provincia;San Luis;OCT;1036.30;9.10
2022;Provincia;Santa Cruz;OCT;593.90;5.20
2022;Provincia;Santa Fe;OCT;8404.20;73.80
2022;Provincia;Santiago del Estero;OCT;798.90;7.00
2022;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;OCT;1144.70;10.10
2022;Provincia;Tucumán;OCT;4256.90;37.40
2022;Provincia;Buenos Aires;Empresa;52075.40;457.50
2022;Provincia;Catamarca;Empresa;59.10;0.50
2022;Provincia;Chaco;Empresa;471.50;4.10
2022;Provincia;Chubut;Empresa;745.80;6.60
2022;Provincia;C.A.B.A.;Empresa;77462.40;680.60
2022;Provincia;Córdoba;Empresa;17286.20;151.90
2022;Provincia;Corrientes;Empresa;209.80;1.80
2022;Provincia;Entre Ríos;Empresa;1256.60;11.00
2022;Provincia;Formosa;Empresa;446.70;3.90
2022;Provincia;Jujuy;Empresa;321.00;2.80
2022;Provincia;La Pampa;Empresa;146.20;1.30
2022;Provincia;La Rioja;Empresa;432.40;3.80
2022;Provincia;Mendoza;Empresa;2972.40;26.10
2022;Provincia;Misiones;Empresa;234.30;2.10
2022;Provincia;Neuquén;Empresa;676.90;5.90
2022;Provincia;Río Negro;Empresa;4127.50;36.30
2022;Provincia;Salta;Empresa;370.90;3.30
2022;Provincia;San Juan;Empresa;651.80;5.70
2022;Provincia;San Luis;Empresa;1158.60;10.20
2022;Provincia;Santa Cruz;Empresa;58.80;0.50
2022;Provincia;Santa Fe;Empresa;15956.70;140.20
2022;Provincia;Santiago del Estero;Empresa;182.00;1.60
2022;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;Empresa;394.40;3.50
2022;Provincia;Tucumán;Empresa;2668.80;23.40
